Sample,Family_ID,Population,Population_Description,Gender,Relationship,Unexpected_Parent_Child,Non_Paternity,Siblings,Grandparents,Avuncular,Half_Siblings,Unknown_Second_Order,Third_Order,In_Low_Coverage_Pilot,LC_Pilot_Platforms,LC_Pilot_Centers,In_High_Coverage_Pilot,HC_Pilot_Platforms,HC_Pilot_Centers,In_Exon_Targetted_Pilot,ET_Pilot_Platforms,ET_Pilot_Centers,Has_Sequence_in_Phase1,Phase1_LC_Platform,Phase1_LC_Centers,Phase1_E_Platform,Phase1_E_Centers,In_Phase1_Integrated_Variant_Set,Has_Phase1_chrY_SNPS,Has_phase1_chrY_Deletions,Has_phase1_chrMT_SNPs,Main_project_LC_Centers,Main_project_LC_platform,Total_LC_Sequence,LC_Non_Duplicated_Aligned_Coverage,Main_Project_E_Centers,Main_Project_E_Platform,Total_Exome_Sequence,X_Targets_Covered_to_20x_or_greater,VerifyBam_E_Omni_Free,VerifyBam_E_Affy_Free,VerifyBam_E_Omni_Chip,VerifyBam_E_Affy_Chip,VerifyBam_LC_Omni_Free,VerifyBam_LC_Affy_Free,VerifyBam_LC_Omni_Chip,VerifyBam_LC_Affy_Chip,LC_Indel_Ratio,E_Indel_Ratio,LC_Passed_QC,E_Passed_QC,In_Final_Phase_Variant_Calling,Has_Omni_Genotypes,Has_Axiom_Genotypes,Has_Affy_6_0_Genotypes,Has_Exome_LOF_Genotypes,EBV_Coverage,DNA_Source_from_Coriell,Has_Sequence_from_Blood_in_Index,Super_Population,Super_Population_Description
HG02068,VN064,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EAS,East Asian
HG02069,VN064,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,WUGSC,ILLUMINA,41150450600.0,14.11,WUGSC,ILLUMINA,35905895600.0,0.943837,0.00066,0.00031,0.00063,,5e-05,,0.0001,,1.07,0.81,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02070,VN064,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,WUGSC,ILLUMINA,43001677900.0,14.7,WUGSC,ILLUMINA,36572714800.0,0.9499290000000001,0.00064,0.00033999999999999997,0.0006,,5e-05,1e-05,5.9999999999999995e-05,,0.92,0.8,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02071,VN065,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EAS,East Asian
HG02072,VN065,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,WUGSC,ILLUMINA,40894233900.0,14.06,WUGSC,ILLUMINA,32799097800.0,0.9441809999999999,0.00065,0.00039,0.00066,,7e-05,2e-05,0.00014,,0.92,0.8,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02073,VN065,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,WUGSC,ILLUMINA,42285128000.0,14.5,WUGSC,ILLUMINA,32601914600.0,0.942998,0.00199,0.00105,0.00193,,5e-05,1e-05,5e-05,,0.92,0.81,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02074,VN066,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EAS,East Asian
HG02075,VN066,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,ILLUMINA,ILLUMINA,42342139346.0,14.71,BCM,ILLUMINA,8234927435.0,0.921639,0.01685,0.01226,0.017169999999999998,,0.00023999999999999998,1e-05,0.00023999999999999998,,0.85,0.93,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02076,VN066,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,ILLUMINA,ILLUMINA,41597298512.0,14.42,BCM,ILLUMINA,7186438254.0,0.904623,0.01854,0.01225,0.01863,,0.00022999999999999998,1e-05,0.00023999999999999998,,0.86,0.87,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02077,VN067,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EAS,East Asian
HG02078,VN067,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,ILLUMINA,ILLUMINA,40150834652.0,14.04,BCM,ILLUMINA,8535826635.0,0.91014,0.015309999999999999,0.01059,0.01541,,0.00023999999999999998,1e-05,0.00025,,0.83,0.87,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02079,VN067,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,ILLUMINA,ILLUMINA,39483134934.0,13.73,BCM,ILLUMINA,8000629453.0,0.924884,0.01564,0.0111,0.0154,,0.0003,2.9999999999999997e-05,0.00032,,0.83,0.94,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02080,VN068,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EAS,East Asian
HG02081,VN068,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,26606970350.0,8.94,BCM,ILLUMINA,7666636088.0,0.913257,0.01719,0.01139,0.01755,,0.00114,9e-05,0.0010400000000000001,,0.9,0.91,1.0,1.0,1.0,1.0,,,1.0,136.78,,,EAS,East Asian
HG02082,VN068,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,28299139803.0,9.65,BCM,ILLUMINA,8152063197.0,0.9275260000000001,0.0149,0.01065,0.015069999999999998,,0.00143,0.00011,0.00151,,1.05,1.02,1.0,1.0,1.0,1.0,,,1.0,74.54,,,EAS,East Asian
HG02083,VN069,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EAS,East Asian
HG02084,VN069,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,23371425654.0,8.03,BCM,ILLUMINA,7142138644.0,0.922069,0.01556,0.01029,0.015580000000000002,,0.0016300000000000002,2.9999999999999997e-05,0.0017,,0.89,0.99,1.0,1.0,1.0,1.0,,,1.0,301.07,,,EAS,East Asian
HG02085,VN069,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,28294042737.0,9.0,BCM,ILLUMINA,10203291387.0,0.936992,0.01871,0.01571,0.01873,,0.0017699999999999999,0.00013000000000000002,0.00172,,0.86,0.95,1.0,1.0,1.0,1.0,,,1.0,244.6,,,EAS,East Asian
HG02086,VN070,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,24485390105.0,8.44,BCM,ILLUMINA,4825200866.0,0.866641,0.01886,0.013569999999999999,0.0191,,0.0022,4e-05,0.00207,,0.88,0.91,1.0,1.0,1.0,1.0,,,1.0,80.04,,,EAS,East Asian
HG02087,VN071,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,21242541392.0,7.36,BCM,ILLUMINA,8029939653.0,0.918013,0.01395,0.00894,0.01384,,0.00125,2e-05,0.0013599999999999999,,0.81,0.83,1.0,1.0,1.0,1.0,,,1.0,349.16,,,EAS,East Asian
HG02088,VN072,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,18391951025.0,6.28,BCM,ILLUMINA,7280922643.0,0.915393,0.014169999999999999,0.01005,0.01415,,0.00106,1e-05,0.00107,,0.9,0.91,1.0,1.0,1.0,1.0,,,1.0,278.99,,,EAS,East Asian
HG02089,PEL35,PEL,"Peruvian in Lima, Peru",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,32107443581.0,11.02,BCM,ILLUMINA,6960695275.0,0.876634,0.01683,0.01677,0.01674,,0.0009400000000000001,0.00086,0.00078,,0.85,1.17,1.0,1.0,1.0,1.0,,,1.0,145.18,,,AMR,American
HG02090,PEL35,PEL,"Peruvian in Lima, Peru",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,20637265057.0,7.06,BCM,ILLUMINA,5745009179.0,0.894125,0.01744,0.0163,0.01775,,0.00116,0.00062,0.00131,,0.91,0.93,1.0,1.0,1.0,1.0,,,1.0,309.27,,,AMR,American
HG02091,PEL35,PEL,"Peruvian in Lima, Peru",female,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,AMR,American
HG02095,BB16,ACB,African Caribbean in Barbados,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI,ILLUMINA,33231891832.0,10.78,BI,ILLUMINA,7378432412.0,0.9173979999999999,0.00717,0.00704,0.00719,,0.0007,0.0005,0.00058,,0.88,1.59,1.0,1.0,1.0,1.0,,,1.0,459.0,,,AFR,African
HG02102,PEL37,PEL,"Peruvian in Lima, Peru",female,child,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,26041890400.0,8.73,BGI,ILLUMINA,13770074200.0,0.9480790000000001,0.00307,0.00321,,0.0033200000000000005,0.00082,0.0010199999999999999,,0.0009699999999999999,0.83,0.88,1.0,1.0,1.0,,,1.0,,0.17,Blood,,AMR,American
HG02104,PEL38,PEL,"Peruvian in Lima, Peru",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,32364189924.0,11.09,BCM,ILLUMINA,6774161102.0,0.9096049999999999,0.00946,0.00998,0.00949,,0.00118,0.00095,0.0011,,0.88,1.27,1.0,1.0,1.0,1.0,,,1.0,111.69,,,AMR,American
HG02105,PEL38,PEL,"Peruvian in Lima, Peru",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,17505775813.0,5.98,BCM,ILLUMINA,4553195746.0,0.8655309999999999,0.01895,0.01896,0.01884,,0.0012699999999999999,0.00093,0.00158,,1.0,1.01,1.0,1.0,1.0,1.0,,,1.0,92.69,,,AMR,American
HG02106,PEL38,PEL,"Peruvian in Lima, Peru",female,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,AMR,American
HG02107,BB18,ACB,African Caribbean in Barbados,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI,ILLUMINA,139000000000.0,40.28,BI,ILLUMINA,6770704188.0,0.9081319999999999,0.0030800000000000003,0.00277,0.00302,,0.0016899999999999999,0.00135,0.0016600000000000002,,1.09,1.53,1.0,1.0,1.0,1.0,,,1.0,525.46,,,AFR,African
HG02108,BB18,ACB,African Caribbean in Barbados,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI,ILLUMINA,21444111637.0,6.92,BI,ILLUMINA,7616282696.0,0.9196030000000001,0.00232,0.00235,0.00236,,0.00158,0.0011,0.00155,,0.87,1.59,1.0,1.0,1.0,1.0,,,1.0,123.77,,,AFR,African
HG02111,BB19,ACB,African Caribbean in Barbados,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI,ILLUMINA,20851000651.0,6.75,BI,ILLUMINA,6929575196.0,0.909143,0.00268,0.00235,0.00275,,0.0016,0.00117,0.0016,,0.9,1.56,1.0,1.0,1.0,1.0,,,1.0,175.15,,,AFR,African
HG02113,VN073,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,27070875975.0,9.27,BCM,ILLUMINA,9741860767.0,0.941575,0.01931,0.01463,0.019280000000000002,,0.00121,2e-05,0.00106,,1.01,0.99,1.0,1.0,1.0,1.0,,,1.0,175.79,,,EAS,East Asian
HG02116,VN074,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI,ILLUMINA,20044459293.0,6.51,BI,ILLUMINA,7176562428.0,0.912069,0.00256,0.0016300000000000002,0.00257,,0.00176,1e-05,0.0018899999999999998,,0.85,1.62,1.0,1.0,1.0,1.0,,,1.0,169.27,,,EAS,East Asian
HG02120,VN076,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EAS,East Asian
HG02121,VN076,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,MPIMG,ILLUMINA,20894877071.0,7.08,BCM,ILLUMINA,8490613379.0,0.935792,0.01404,0.0109,0.01403,,0.00176,,0.00158,,0.86,0.94,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02122,VN076,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,MPIMG,ILLUMINA,23849178177.0,8.16,BCM,ILLUMINA,5155270987.0,0.8515799999999999,0.01065,0.006640000000000001,0.01077,,0.00091,,0.00109,,0.86,0.96,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02126,VN078,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EAS,East Asian
HG02127,VN078,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,MPIMG,ILLUMINA,22546772572.0,7.74,BCM,ILLUMINA,9529567251.0,0.930476,0.01311,0.00966,0.01296,,0.0015199999999999999,,0.00151,,0.86,0.94,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02128,VN078,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,MPIMG,ILLUMINA,24044517025.0,8.19,BCM,ILLUMINA,8359330145.0,0.9325110000000001,0.014119999999999999,0.010490000000000001,0.01435,,0.00101,,0.0018899999999999998,,0.85,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02129,VN079,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EAS,East Asian
HG02130,VN079,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,16715437650.0,5.55,BGI,ILLUMINA,9672403230.0,0.764868,0.0024,0.00119,0.00233,,0.00016,,4e-05,,0.85,0.73,1.0,1.0,1.0,1.0,,,1.0,54.7,,,EAS,East Asian
HG02131,VN079,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,17684067150.0,5.83,BGI,ILLUMINA,12789143730.0,0.7805479999999999,0.00242,0.0013,0.00238,,0.00013000000000000002,,4e-05,,0.85,0.73,1.0,1.0,1.0,1.0,,,1.0,47.06,,,EAS,East Asian
HG02132,VN080,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EAS,East Asian
HG02133,VN080,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,17054454960.0,5.67,BGI,ILLUMINA,11090740140.0,0.774965,0.0018800000000000002,0.0008300000000000001,0.0019100000000000002,,0.0001,,0.00015,,0.86,0.72,1.0,1.0,1.0,1.0,,,1.0,55.28,,,EAS,East Asian
HG02134,VN080,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,20868503580.0,6.97,BGI,ILLUMINA,11645982720.0,0.777147,0.0019199999999999998,0.0011099999999999999,0.0019399999999999999,,0.00082,,0.00057,,0.85,0.72,1.0,1.0,1.0,1.0,,,1.0,23.94,,,EAS,East Asian
HG02135,VN081,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EAS,East Asian
HG02136,VN081,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,15530925060.0,5.19,BGI,ILLUMINA,9601394760.0,0.7720899999999999,0.0020800000000000003,0.00078,0.00209,,0.00027,,0.00029,,0.86,0.71,1.0,1.0,1.0,1.0,,,1.0,42.41,,,EAS,East Asian
HG02137,VN081,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,17924221440.0,5.9,BGI,ILLUMINA,10943951940.0,0.7796569999999999,0.00215,0.00144,0.00225,,0.00015,,9e-05,,0.86,0.71,1.0,1.0,1.0,1.0,,,1.0,103.38,,,EAS,East Asian
HG02138,VN082,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,28616628253.0,9.74,BCM,ILLUMINA,8843591310.0,0.937893,0.01456,0.01096,0.01487,,0.00053,1e-05,0.00057,,0.91,0.94,1.0,1.0,1.0,1.0,,,1.0,399.49,,,EAS,East Asian
HG02139,VN083,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,24944930005.0,8.48,BCM,ILLUMINA,7892491177.0,0.933917,0.0148,0.009470000000000001,0.01487,,0.00085,,0.00082,,0.85,1.1,1.0,1.0,1.0,1.0,,,1.0,98.34,,,EAS,East Asian
HG02140,VN084,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,24827481246.0,8.5,BCM,ILLUMINA,7736315483.0,0.933383,0.014130000000000002,0.0103,0.014369999999999999,,0.0007700000000000001,5.9999999999999995e-05,0.00186,,0.88,1.02,1.0,1.0,1.0,1.0,,,1.0,399.04,,,EAS,East Asian
HG02141,VN085,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCM,ILLUMINA,30963431226.0,10.47,BCM,ILLUMINA,6044424790.0,0.863726,0.01241,0.007659999999999999,0.012320000000000001,,0.0010199999999999999,0.00011,0.0009,,0.86,1.12,1.0,1.0,1.0,1.0,,,1.0,400.31,,,EAS,East Asian
HG02142,VN086,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPIMG,ILLUMINA,21976918957.0,7.52,BGI,ILLUMINA,11643927030.0,0.78365,0.00155,0.00093,0.00143,,0.00125,,0.00315,,0.85,0.76,1.0,1.0,1.0,1.0,,,1.0,0.0,,,EAS,East Asian
HG02143,BB20,ACB,African Caribbean in Barbados,male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,BI,ILLUMINA,21616360370.0,6.92,BI,ILLUMINA,7152999160.0,0.916333,0.00229,0.00215,0.00227,,0.00135,0.00082,0.0014199999999999998,,0.88,1.6,1.0,1.0,1.0,1.0,,,1.0,77.93,,,AFR,African
HG02144,BB20,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,BI,ILLUMINA,23608286309.0,7.56,BI,ILLUMINA,7187998452.0,0.9191280000000001,0.00262,0.00271,0.00256,,0.0019100000000000002,0.0015300000000000001,0.00195,,0.87,1.55,1.0,1.0,1.0,1.0,,,1.0,183.32,,,AFR,African
HG02145,BB20,ACB,African Caribbean in Barbados,male,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,AFR,African
HG02146,PEL39,PEL,"Peruvian in Lima, Peru",male,father,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,17166499650.0,5.7,BGI,ILLUMINA,12636001080.0,0.7809470000000001,0.0027600000000000003,0.0025,0.00283,,0.00026000000000000003,0.00022,0.0008699999999999999,,0.86,0.78,1.0,1.0,1.0,1.0,,,1.0,350.84,,,AMR,American
HG02147,PEL39,PEL,"Peruvian in Lima, Peru",female,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,21014623800.0,7.05,BGI,ILLUMINA,10648459800.0,0.769904,0.0041,0.0039700000000000004,0.00419,,0.0013599999999999999,0.0008300000000000001,0.00144,,0.84,0.77,1.0,1.0,1.0,1.0,,,1.0,87.74,,,AMR,American
HG02148,PEL39,PEL,"Peruvian in Lima, Peru",female,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,AMR,American
HG02150,PEL40,PEL,"Peruvian in Lima, Peru",male,child,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,25551796400.0,8.57,BGI,ILLUMINA,12826076800.0,0.943391,0.00305,0.00339,,0.0034200000000000003,0.00035,0.00035,,0.00054,0.84,0.89,1.0,1.0,1.0,,,1.0,,0.05,Blood,,AMR,American
HG02151,HG02151,CDX,"Chinese Dai in Xishuangbanna, China",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,BGI,ILLUMINA,19971700290.0,6.8,BGI,ILLUMINA,12552856110.0,0.79335,0.0028,0.0021899999999999997,0.0027300000000000002,,0.00106,0.00044,0.0011099999999999999,,0.86,0.75,1.0,1.0,1.0,1.0,,,1.0,92.66,,,EAS,East Asian
HG02152,HG02152,CDX,"Chinese Dai in Xishuangbanna, China",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,ILLUMINA,12883570300.0,4.49,BCM,ILLUMINA,9400422995.0,0.946658,0.013009999999999999,0.01267,0.01289,,0.00055,0.00011,0.0007700000000000001,,0.86,0.99,1.0,1.0,1.0,1.0,,,1.0,56.44,,,EAS,East Asian
HG02153,HG02153,CDX,"Chinese Dai in Xishuangbanna, China",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,ILLUMINA,12522687400.0,4.35,BCM,ILLUMINA,4424728594.0,0.8549469999999999,0.01778,0.01779,0.018090000000000002,,0.00158,4e-05,0.0019100000000000002,,0.87,1.14,1.0,1.0,1.0,1.0,,,1.0,112.55,,,EAS,East Asian
HG02154,HG02154,CDX,"Chinese Dai in Xishuangbanna, China",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,ILLUMINA,14151036600.0,5.01,BCM,ILLUMINA,8543502130.0,0.927348,0.0137,0.013890000000000001,0.01376,,0.00925,0.00502,0.01201,,0.81,0.98,1.0,1.0,1.0,1.0,,,1.0,527.16,,,EAS,East Asian
HG02155,HG02155,CDX,"Chinese Dai in Xishuangbanna, China",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,ILLUMINA,15382727600.0,5.34,BCM,ILLUMINA,6334151774.0,0.908633,0.01683,0.0158,0.016819999999999998,,0.0015199999999999999,0.0001,0.0017399999999999998,,0.86,1.02,1.0,1.0,1.0,1.0,,,1.0,70.48,,,EAS,East Asian
HG02156,HG02156,CDX,"Chinese Dai in Xishuangbanna, China",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,ILLUMINA,14042739900.0,4.89,BCM,ILLUMINA,6513904403.0,0.9199379999999999,0.01819,0.01705,0.01829,,0.00157,4e-05,0.00256,,0.86,1.01,1.0,1.0,1.0,1.0,,,1.0,37.83,,,EAS,East Asian
HG02164,HG02164,CDX,"Chinese Dai in Xishuangbanna, China",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,ILLUMINA,14987992100.0,5.21,BCM,ILLUMINA,6241904737.0,0.913851,0.01668,0.01647,0.01676,,0.0017,0.00032,0.0016600000000000002,,0.87,1.14,1.0,1.0,1.0,1.0,,,1.0,1123.46,,,EAS,East Asian
HG02165,HG02165,CDX,"Chinese Dai in Xishuangbanna, China",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,ILLUMINA,13706263200.0,4.76,BCM,ILLUMINA,4689497872.0,0.8660620000000001,0.019190000000000002,0.019119999999999998,0.019459999999999998,,0.01888,0.014119999999999999,0.01935,,0.86,1.05,1.0,1.0,1.0,1.0,,,1.0,350.58,,,EAS,East Asian
HG02166,HG02166,CDX,"Chinese Dai in Xishuangbanna, China",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,ILLUMINA,16003587300.0,5.53,BCM,ILLUMINA,8109324138.0,0.9357610000000001,0.02187,0.021730000000000003,0.02188,,0.00253,0.00135,0.00305,,0.87,0.98,1.0,1.0,1.0,1.0,,,1.0,295.87,,,EAS,East Asian
HG02168,HG02168,CDX,"Chinese Dai in Xishuangbanna, China",female,unrel,,,,,,,,,,,,,,,,,,,,,,,,,,,WUGSC,ILLUMINA,16197437100.0,,WUGSC,ILLUMINA,8149470900.0,,0.042460000000000005,0.04659,,0.04607,0.00054,0.00307,,0.00139,0.9,0.96,,,,,,1.0,,,LCL,,EAS,East Asian
HG02169,HG02169,CDX,"Chinese Dai in Xishuangbanna, China",female,unrel,,,,,,,,,,,,,,,,,,,,,,,,,,,WUGSC,ILLUMINA,18548876600.0,,WUGSC,ILLUMINA,5981278400.0,,0.04645,0.051410000000000004,,0.051629999999999995,2.9999999999999997e-05,0.00045999999999999996,,0.0008699999999999999,0.95,0.92,,,,,,1.0,,,LCL,,EAS,East Asian
HG02170,HG02170,CDX,"Chinese Dai in Xishuangbanna, China",female,unrel,,,,,,,,,,,,,,,,,,,,,,,,,,,WUGSC,ILLUMINA,17487968000.0,,WUGSC,ILLUMINA,7354134600.0,,0.04398,0.04861,,0.048369999999999996,0.0011,0.0042899999999999995,,0.0012900000000000001,0.9,0.95,,,,,,1.0,,,LCL,,EAS,East Asian
HG02173,HG02173,CDX,"Chinese Dai in Xishuangbanna, China",female,unrel,,,,,,,,,,,,,,,,,,,,,,,,,,,WUGSC,ILLUMINA,15911361500.0,,WUGSC,ILLUMINA,5991095500.0,,0.05565,0.06042,,0.05993,2e-05,0.0019100000000000002,,0.00095,0.96,0.96,,,,,,1.0,,,LCL,,EAS,East Asian
HG02176,HG02176,CDX,"Chinese Dai in Xishuangbanna, China",female,unrel,,,,,,,,,,,,,,,,,,,,,,,,,,,WUGSC,ILLUMINA,19666058200.0,,WUGSC,ILLUMINA,4947186500.0,,0.052039999999999996,0.056389999999999996,,0.05537,0.00114,0.0034200000000000003,,0.00105,0.98,0.92,,,,,,1.0,,,LCL,,EAS,East Asian
